Word;DocNumber;Weight
AB;01178;7.102499355774649
ABANDON;00550;6.409352175214703
ABANDON;00090;6.409352175214703
ABDOMEN;01063;6.409352175214703
ABDOMEN;00037;6.409352175214703
ABDOMIN;00478;1.4230953372394775
ABDOMIN;00902;2.846190674478955
ABDOMIN;00727;1.4230953372394775
ABDOMIN;00240;1.4230953372394775
ABDOMIN;00594;1.4230953372394775
ABDOMIN;00659;1.4230953372394775
ABDOMIN;00202;4.269286011718433
ABDOMIN;00475;4.269286011718433
ABDOMIN;00314;1.4230953372394775
ABDOMIN;01063;1.4230953372394775
ABDOMIN;00364;1.4230953372394775
ABDOMIN;00801;1.4230953372394775
ABDOMIN;00643;1.4230953372394775
ABDOMIN;00037;2.846190674478955
ABDOMIN;00182;1.4230953372394775
ABDOMIN;00095;2.846190674478955
ABDOMIN;00149;2.846190674478955
ABERR;00114;5.716204994654758
ABERR;00117;5.716204994654758
ABERR;00410;5.716204994654758
ABERR;00360;5.716204994654758
ABETALIPOPROTINAEMIA;01088;7.102499355774649
ABH;00167;7.102499355774649
ABIL;00765;1.8506509870562466
ABIL;00126;1.8506509870562466
ABIL;00523;3.7013019741124933
ABIL;00290;1.8506509870562466
ABIL;01045;1.8506509870562466
ABIL;00397;1.8506509870562466
ABIL;00018;1.8506509870562466
ABIL;00145;1.8506509870562466
ABIL;00892;1.8506509870562466
ABIL;00306;3.7013019741124933
ABIL;01200;1.8506509870562466
ABIL;01062;1.8506509870562466
ABIL;00448;1.8506509870562466
ABIL;00164;1.8506509870562466
ABIL;00245;1.8506509870562466
ABIL;00596;1.8506509870562466
ABIL;00552;1.8506509870562466
ABIL;00072;1.8506509870562466
ABIL;00449;1.8506509870562466
ABIL;00539;1.8506509870562466
ABIL;01167;1.8506509870562466
ABIL;00828;1.8506509870562466
ABIL;00265;1.8506509870562466
ABIL;00911;1.8506509870562466
ABIL;00748;1.8506509870562466
ABIL;00020;1.8506509870562466
ABIL;01102;1.8506509870562466
